19396,949
19422,867
19422,949
19453,884
386,17326
386,19396
320,849
320,949
12500,867
12500,17326
12500,867
12512,320
17355,884
17490,320
17355,884
17490,320
849,12560
867,386
867,17377
867,386
16625,2010
16625,2222
16679,6392
16679,2010
6455,16679
6559,16625
6559,2222
6559,2010
19454,6392
19493,2248
19493,1856
19493,2248
1884,16625
2010,19490
1884,2222
2010,19396
2248,2010
2248,16679
2139,19490
2139,19490
15690,1265
15690,496
15704,462
15704,496
1336,462
1336,4421
1336,15823
1246,4395
4421,462
4421,451
4498,1246
4498,449
17827,1265
17731,1246
17827,1265
17827,1265
449,1265
496,1265
496,1265
449,15704
10294,5743
10258,8485
10258,8447
10258,8485
8485,5743
8485,10132
8468,10199
8468,10199
5596,8468
5645,10294
5596,8468
5596,17719
17889,8447
17827,5743
17827,10199
17719,8447
18123,10258
17965,5743
18123,5645
17965,10258
4191,8020
4191,7396
4191,2357
4214,2357
15010,2357
15010,4154
14982,4167
14982,7240
8019,4167
7972,2357
8019,4167
8019,4167
7342,2357
7376,2357
7376,4167
7376,15010
2456,4154
2456,7396
2456,15010
2450,7342
3569,18626
3672,18678
3672,18647
3672,9494
8231,18647
8231,18647
8199,9494
8199,3569
10432,3657
10432,9672
10432,9672
10495,18626
18626,3657
18647,10340
18626,3569
18678,3513
9521,8041
9521,8041
9662,10340
9521,3513
17043,8133
17022,13108
16948,12484
17022,13108
13108,12401
13108,12401
13108,4138
13107,17043
12484,13064
12484,13064
12484,13064
12422,4325
4287,13080
4138,12484
4138,8133
4287,8133
8049,13108
8051,17043
8051,4325
8121,16936
1002,1138
901,7365
1002,7244
1002,15609
15490,1138
15490,1138
15490,7331
15609,7365
7244,15491
7311,1155
7244,15491
7244,15491
1155,15491
1155,7311
1096,7244
1096,7244
0,7311
99,7244
99,901
0,15491
17986,13285
18079,19871
17986,13285
18079,13247
13184,19871
13184,8962
13227,17953
13184,19814
15314,19864
15314,19864
15270,19814
15270,13285
8996,13184
8895,19864
8895,15382
8895,15382
19871,15382
19871,13285
19814,15382
19814,13247
4777,5323
4767,5323
4865,5323
4849,8203
10409,4767
10481,4767
10372,5318
10409,4767
3416,4865
3383,4767
3341,4865
3383,4849
8054,4849
8147,10337
8147,10337
8147,4767
5176,4767
5318,4849
5176,4865
5300,4849
5138,11490
5018,13173
5138,17653
5138,11490
12981,17653
13173,17615
12981,17653
13147,11490
17615,13173
17572,12981
17615,5138
17590,5030
20256,11335
20228,11360
20256,11335
20228,13147
11335,17615
11335,17615
11464,13119
11464,17615
9109,2279
9109,2363
9079,2279
9109,2279
12504,2363
12504,9200
12404,2279
12362,2363
8713,7299
8806,2279
8713,2279
8713,7299
2364,9079
2364,9079
2313,9200
2363,7299
7226,8806
7226,8806
7299,9079
7299,9140
11743,6594
11743,6594
11743,8045
11903,11325
11193,8208
11193,11746
11193,8208
11129,6617
9108,8178
9108,6617
9108,6617
9265,6701
8178,11325
8178,11325
8178,11743
8142,9103
6641,9108
6641,11746
6701,8208
6701,8142
2235,11636
2240,20434
2235,17771
2235,11609
3745,17845
3745,20434
3745,2235
3775,2155
11636,17845
11667,20519
11636,3775
11667,17879
20519,11741
20548,11636
20519,11741
20519,17845
17845,20519
17756,11741
17845,11609
17845,20504
7796,3017
7689,7439
7684,2042
7800,7439
2907,1910
2907,7689
2907,1910
3038,7684
7466,2018
7615,10881
7615,10881
7466,7684
2042,3038
2042,3038
1873,7439
2042,3017
10768,7439
10888,3017
10768,7439
10768,2907
201,1095
201,18798
201,1106
38,13540
18820,184
18943,1095
18807,13411
18798,13540
13411,201
13395,18820
13395,1170
13395,49
17314,1095
17314,184
17450,13395
17450,13540
1170,17450
1095,17363
1170,13540
1170,49
